Plant ,Phytochemical,PubChemCID,PMID,Other Ref
Acacia concinna,oxalic acid,971,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Acacia concinna,nicotine,89594,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Acacia concinna,kinmoonoside A,101088124,11141109,
Acacia concinna,kinmoonoside B,101088125,11141109,
Acacia concinna,kinmoonoside C,101088126,11141109,
Acacia concinna,tartaric acid,875,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Acacia concinna,citric acid,311,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Acacia concinna,succinic acid,1110,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Acacia concinna,ascorbic acid,54670067,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Acacia concinna,calycotomine,606033,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Acacia concinna,rutin,5280805,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Albizia julibrissin,p-hydroxybenzaldehyde,126,25282893,
Albizia julibrissin,gallic acid,370,25282893,
Albizia julibrissin,palmitic acid,985,25282893,
Albizia julibrissin,vanillin,1183,25282893,
Albizia julibrissin,stearic acid,5281,25282893,
Albizia julibrissin,uridine,6029,25282893,
Albizia julibrissin,2-furoic acid,6919,25282893,
Albizia julibrissin,indole-3-carboxaldehyde,10256,25282893,
Albizia julibrissin,"2,3-dihydroxypropyl hexadecanoate",14900,25282893,
Albizia julibrissin,indole-3-carboxylic acid,69867,22223384,
Albizia julibrissin,3-ethoxy4-hydroxy-benzoic acid,95085,25282893,
Albizia julibrissin,"3,3'-dithiodipropanoic acid",95116,22223384,
Albizia julibrissin,5-(hydroxymethyl)-2-furaldehyde,237332,25282893,
Albizia julibrissin,isoliquiritigenin,638278,22223384,
Albizia julibrissin,quercetin,5280343,22223384,
Albizia julibrissin,formononetin,5280378,25282893,
Albizia julibrissin,apigenin,5280443,22223384,
Albizia julibrissin,luteolin,5280445,22223384,
Albizia julibrissin,linoleic acid,5280450,25282893,
Albizia julibrissin,quercitrin,5280459,22223384,
Albizia julibrissin,scopoletin,5280460,25282893,
Albizia julibrissin,vomifoliol,5280462,25282893,
Albizia julibrissin,chrysoeriol,5280666,22223384,
Albizia julibrissin,kaempferol,5280863,22223384,
Albizia julibrissin,sulfuretin,5281295,12877554,
Albizia julibrissin,amentoflavone,5281600,22223384,
Albizia julibrissin,isorhamnetin,5281654,22223384,
Albizia julibrissin,rhamnetin,5281691,22223384,
Albizia julibrissin,tricin,5281702,22223384,
Albizia julibrissin,"3',4',7-trihydroxyflavone",5322065,12877554,
Albizia julibrissin,"7,8-dimethylalloxazine",5326566,22223384,
Albizia julibrissin,julibroside I,5352113,9051910,
Albizia julibrissin,julibroside II,5352114,9051910,
Albizia julibrissin,julibroside J1,6449968,21530133,
Albizia julibrissin,prosapogenin 4,16681643,9051910,
Albizia julibrissin,prosapogenin 4,16681643,21530133,
Albizia julibrissin,julibroside III,20056072,9051910,
Albizia julibrissin,machaerinic acid lactone,21594250,15303140,
Albizia julibrissin,prosapogenin 3,21604181,9051910,
Albizia julibrissin,prosapogenin 3,21604181,21530133,
Albizia julibrissin,julibroside J30,44411377,16504508,
Albizia julibrissin,julibroside J31,44411378,16504508,
Albizia julibrissin,julibroside J29,44448243,16504508,
Albizia julibrissin,prosapogenin 1,44566619,9051910,
Albizia julibrissin,prosapogenin 11,44566624,9051910,
Albizia julibrissin,prosapogenin 11,44566624,21530133,
Albizia julibrissin,prosapogenin 12,44566625,9051910,
Albizia julibrissin,prosapogenin 12,44566625,21530133,
Albizia julibrissin,acacigenin B,101316870,15303140,
Albizia julibrissin,(-)-syringaresinol,11604108,12920839,
Albizia julibrissin,taxifolin,12309272,22223384,
Albizia julibrissin,(E)-p-coumaric acid,1549106,22223384,
Albizia julibrissin,prosapogenin 2,15719625,9051910,
Albizia julibrissin,lupeol,259846,22809287,
Albizia julibrissin,prosapogenin 10,44566623,9051910,
Albizia julibrissin,prosapogenin 10,44566623,21530133,
Albizia julibrissin,aurantiamide acetate,9832120,22809287,
Allium cepa,protocatechuic acid,72,16218662,
Allium cepa,propionaldehyde,527,23200369,
